Season No,No,Template,Number of Players,Harmony Player,Rank,Percentile,Games,Wins,Defeats,Win Rate,,
51,LI,Hopscotch,429,Bechaa,4,0.991,20,17,3,85,,
53,LIII,Strategic Greece,442,Texx,6,0.986,20,16,4,80,,
54,LIV,Trippel-Tafl No Fog,285,Texx,6,0.979,20,14,6,65,,
44,XLIV,SE 1W,900,#BanPlajer,24,0.973,21,16,5,76.19047619,,
46,XLVI,Belarus,635,καλλιστηι,19,0.970,20,17,3,85,,
43,XLIII,Great Lakes,356,Bechaa,11,0.969,20,15,5,75,,
48,XLVIII,Elitist Africa,517,denna.,17,0.967,20,16,4,80,,
45,XLV,Numenor,795,kishu,31,0.961,20,17,3,85,,
5,V,Battle Islands V,123,Hypnotic,5,0.959,20,15,5,75,,
45,XLV,Numenor,795,FluDhs,33,0.959,20,14,6,70,,
52,LII,Guiroma,548,psinoza,28,0.949,20,12,8,60,,
46,XLVI,Belarus,635,kishu,35,0.945,20,17,3,85,,
37,XXXVII,Earthsea,258,denna.,15,0.942,20,14,6,70,,
46,XLVI,Belarus,635,FluDhs,42,0.934,20,13,7,65,,
46,XLVI,Belarus,635,denna.,45,0.929,20,13,7,65,,
42,XLII,Unicorn Island,324,Bechaa,24,0.926,20,12,8,60,,
4,IV,Strat ME 0% WR,119,Hypnotic,9,0.924,20,14,6,70,,
40,XL,Landria,366,denna.,28,0.924,20,13,7,65,,
41,XLI,Yorkshire,361,denna.,28,0.922,20,13,7,65,,
51,LI,Hopscotch,429,denna.,35,0.918,20,13,7,65,,
52,LII,Guiroma,548,FluDhs,45,0.918,20,14,6,70,,
54,LIV,Trippel-Tafl No Fog,285,Chrisromefighter,24,0.916,20,13,7,65,,
53,LIII,Strategic Greece,442,psinoza,38,0.914,20,14,6,70,,
43,XLIII,Great Lakes,356,FluDhs,31,0.913,20,12,8,60,,
47,XLVII,Antarctica,548,denna.,48,0.912,20,14,6,70,,
43,XLIII,Great Lakes,356,denna.,32,0.910,21,14,7,66.66666667,,
48,XLVIII,Elitist Africa,517,FluDhs,50,0.903,20,13,7,65,,
49,XLIX,Battle Islands V,489,FluDhs,48,0.902,20,12,8,60,,
54,LIV,Trippel-Tafl No Fog,285,Sapk,29,0.898,20,12,8,60,,
44,XLIV,SE 1W,900,denna.,94,0.896,20,11,9,55,,
36,XXXVI,Timid Land,257,denna.,27,0.895,20,13,7,65,,
49,XLIX,Battle Islands V,489,denna.,54,0.890,20,12,8,60,,
53,LIII,Strategic Greece,442,denna.,52,0.882,20,11,9,55,,
44,XLIV,SE 1W,900,FluDhs,106,0.882,20,12,8,60,,
47,XLVII,Antarctica,548,FluDhs,69,0.874,20,12,8,60,,
54,LIV,Trippel-Tafl No Fog,285,Bodski,38,0.867,20,14,6,65,,
39,XXXIX,Georgia AC,279,denna.,38,0.864,20,13,7,65,,
51,LI,Hopscotch,429,FluDhs,59,0.863,20,13,7,65,,
44,XLIV,SE 1W,900,Captain Abraham Bartholomew,124,0.862,20,13,7,65,,
45,XLV,Numenor,795,PinkBladder,113,0.858,21,14,7,66.66666667,,
53,LIII,Strategic Greece,442,Chrisromefighter,63,0.858,20,12,8,60,,
48,XLVIII,Elitist Africa,517,καλλιστηι,74,0.857,21,15,6,71.42857143,,
50,L,French Brawl,476,denna.,73,0.847,20,12,8,60,,
50,L,French Brawl,476,FluDhs,79,0.834,20,12,8,60,,
53,LIII,Strategic Greece,442,FluDhs,78,0.824,20,12,8,60,,
52,LII,Guiroma,548,denna.,100,0.818,20,11,9,55,,
45,XLV,Numenor,795,GLiTchY,148,0.814,20,11,9,55,,
53,LIII,Strategic Greece,442,andrtych,84,0.810,20,13,7,65,,
53,LIII,Strategic Greece,442,Sapk,88,0.801,20,12,8,60,,
52,LII,Guiroma,548,GLiTchY,110,0.799,20,13,7,65,,
49,XLIX,Battle Islands V,489,andrtych,102,0.791,20,11,9,55,,
2,II,Light Fog Diplo,142,Hypnotic,30,0.789,20,13,7,65,,
44,XLIV,SE 1W,900,καλλιστηι,197,0.781,20,8,12,40,,
43,XLIII,Great Lakes,356,1000watts,80,0.775,20,12,8,60,,
50,L,French Brawl,476,Dan,110,0.769,20,12,8,60,,
52,LII,Guiroma,548,Dan,128,0.766,20,9,11,45,,
53,LIII,Strategic Greece,442,GLiTchY,113,0.744,20,11,9,55,,
46,XLVI,Belarus,635,Warrior,170,0.732,20,9,11,45,,
49,XLIX,Battle Islands V,489,καλλιστηι,135,0.724,15,12,3,80,,
50,L,French Brawl,476,Sapk,133,0.721,20,11,9,55,,
17,XVII,Strategic Greece,312,Hypnotic,88,0.718,20,10,10,50,,
45,XLV,Numenor,795,Bechaa,232,0.708,14,10,4,71.42857143,,
43,XLIII,Great Lakes,356,Nave,105,0.705,19,9,10,47.36842105,,
45,XLV,Numenor,795,PackMan97,235,0.704,20,9,11,45,,
48,XLVIII,Elitist Africa,517,andrtych,153,0.704,20,12,8,60,,
50,L,French Brawl,476,Hypnotic,144,0.698,21,13,8,61.9047619,,
46,XLVI,Belarus,635,GLiTchY,193,0.696,20,12,8,60,,
45,XLV,Numenor,795,καλλιστηι,243,0.694,21,12,9,57.14285714,,
54,LIV,Trippel-Tafl No Fog,285,MB,88,0.691,20,11,9,55,,
49,XLIX,Battle Islands V,489,Bodski,153,0.687,20,11,9,55,,
49,XLIX,Battle Islands V,489,GLiTchY,154,0.685,20,11,9,55,,
45,XLV,Numenor,795,Clash42,251,0.684,20,12,8,60,,
52,LII,Guiroma,548,Trump 45 47,174,0.683,20,11,9,55,,
44,XLIV,SE 1W,900,GLiTchY,296,0.671,20,11,9,55,,
44,XLIV,SE 1W,900,PackMan97,297,0.670,20,11,9,55,,
44,XLIV,SE 1W,900,Nave,298,0.669,20,10,10,50,,
52,LII,Guiroma,548,Gral. Castanos,183,0.666,20,10,10,50,,
44,XLIV,SE 1W,900,dwaynerudd,304,0.662,20,9,11,45,,
51,LI,Hopscotch,429,Nave,149,0.653,14,9,5,64.28571429,,
45,XLV,Numenor,795,TorquoiseGamer,282,0.645,20,10,10,50,,
50,L,French Brawl,476,andrtych,169,0.645,20,11,9,55,,
50,L,French Brawl,476,Kcebnroh,182,0.618,20,12,8,60,,
51,LI,Hopscotch,429,Warrior,167,0.611,20,9,11,45,,
50,L,French Brawl,476,GLiTchY,188,0.605,21,10,11,47.61904762,,
50,L,French Brawl,476,καλλιστηι,192,0.597,16,10,6,62.5,,
47,XLVII,Antarctica,548,Big Wave,223,0.593,21,10,11,47.61904762,,
45,XLV,Numenor,795,Warrior,324,0.593,20,11,9,55,,
41,XLI,Yorkshire,361,ZOROASTRO,149,0.587,20,11,9,55,,
52,LII,Guiroma,548,andrtych,229,0.582,20,9,11,45,,
54,LIV,Trippel-Tafl No Fog,285,Trump 45 47,121,0.575,20,10,10,50,,
52,LII,Guiroma,548,sfj,233,0.575,20,9,11,45,,
48,XLVIII,Elitist Africa,517,GLiTchY,228,0.559,20,9,11,45,,
49,XLIX,Battle Islands V,489,Big Wave,217,0.556,20,12,8,60,,
43,XLIII,Great Lakes,356,Big Wave,158,0.556,20,10,10,50,,
44,XLIV,SE 1W,900,Gral. Castanos,400,0.556,20,9,11,45,,
51,LI,Hopscotch,429,sfj,194,0.548,20,11,9,55,,
48,XLVIII,Elitist Africa,517,JaneilsonHD,246,0.524,20,12,8,60,,
46,XLVI,Belarus,635,Big Wave,303,0.523,20,9,11,45,,
44,XLIV,SE 1W,900,Claudio,433,0.519,20,10,10,50,,
51,LI,Hopscotch,429,andrtych,207,0.518,20,8,12,40,,
48,XLVIII,Elitist Africa,517,TorquoiseGamer,258,0.501,20,8,12,40,,
3,III,EA&O WR,132,Hypnotic,66,0.500,14,9,5,64.28571429,,
53,LIII,Strategic Greece,442,Trump 45 47,222,0.498,20,9,11,45,,
52,LII,Guiroma,548,Jonboy65,285,0.480,20,7,13,35,,
47,XLVII,Antarctica,548,Warrior,287,0.476,20,10,10,50,,
45,XLV,Numenor,795,Big Wave,419,0.473,20,8,12,40,,
47,XLVII,Antarctica,548,TorquoiseGamer,291,0.469,21,10,11,47.61904762,,
44,XLIV,SE 1W,900,Zahra,482,0.464,21,8,13,38.0952381,,
50,L,French Brawl,476,Nave,257,0.460,14,8,6,57.14285714,,
50,L,French Brawl,476,TorquoiseGamer,258,0.458,20,10,10,50,,
53,LIII,Strategic Greece,442,Jonboy65,243,0.450,20,7,13,35,,
44,XLIV,SE 1W,900,Big Wave,497,0.448,21,9,12,42.85714286,,
43,XLIII,Great Lakes,356,Captain Abraham Bartholomew,197,0.447,19,7,12,36.84210526,,
51,LI,Hopscotch,429,GLiTchY,239,0.443,21,9,11,42.85714286,,
54,LIV,Trippel-Tafl No Fog,285,Jonboy65,159,0.442,20,8,12,40,,
48,XLVIII,Elitist Africa,517,Warrior,295,0.429,20,12,8,60,,
46,XLVI,Belarus,635,Clash42,368,0.421,20,9,11,45,,
47,XLVII,Antarctica,548,JaneilsonHD,318,0.420,20,9,11,45,,
54,LIV,Trippel-Tafl No Fog,285,andrtych,166,0.418,20,9,11,45,,
46,XLVI,Belarus,635,Nave,373,0.413,13,9,4,69.23076923,,
18,XVIII,Snowy Mountains,323,Alexander Cassagne,190,0.412,20,8,12,40,,
43,XLIII,Great Lakes,356,PackMan97,210,0.410,13,8,5,61.53846154,,
50,L,French Brawl,476,Warrior,281,0.410,20,9,11,45,,
53,LIII,Strategic Greece,442,marios6369,261,0.410,20,9,11,45,,
7,VII,Heavy Earth,143,Hypnotic,85,0.406,12,6,6,50,,
42,XLII,Unicorn Island,324,ZOROASTRO,193,0.404,21,9,12,42.85714286,,
44,XLIV,SE 1W,900,1000watts,538,0.402,20,7,13,35,,
46,XLVI,Belarus,635,TorquoiseGamer,381,0.400,20,9,11,45,,
52,LII,Guiroma,548,JaneilsonHD,331,0.396,20,7,13,35,,
53,LIII,Strategic Greece,442,IKBftw,272,0.385,15,6,9,40,,
49,XLIX,Battle Islands V,489,Warrior,301,0.385,20,8,12,40,,
53,LIII,Strategic Greece,442,Chris,273,0.382,17,7,10,41.17647059,,
48,XLVIII,Elitist Africa,517,Bechaa,320,0.381,20,9,11,45,,
42,XLII,Unicorn Island,324,PackMan97,202,0.377,20,8,12,40,,
54,LIV,Trippel-Tafl No Fog,285,frank_segal,178,0.375,20,7,13,35,,
45,XLV,Numenor,795,JaneilsonHD,499,0.372,20,9,11,45,,
40,XL,Landria,366,ZOROASTRO,230,0.372,20,6,14,30,,
48,XLVIII,Elitist Africa,517,Big Wave,325,0.371,20,8,12,40,,
53,LIII,Strategic Greece,442,sfj,282,0.362,20,7,13,35,,
52,LII,Guiroma,548,IKBftw,351,0.360,14,7,7,50,,
54,LIV,Trippel-Tafl No Fog,285,TonyG4real,183,0.358,20,9,11,45,,
52,LII,Guiroma,548,OldManKensey,352,0.358,20,3,17,15,,
52,LII,Guiroma,548,Main Character,354,0.354,20,6,14,30,,
44,XLIV,SE 1W,900,Clash42,584,0.351,20,10,10,50,,
50,L,French Brawl,476,111,315,0.338,20,8,12,40,,
44,XLIV,SE 1W,900,Warrior,603,0.330,20,9,11,45,,
45,XLV,Numenor,795,Nave,534,0.328,11,7,4,63.63636364,,
51,LI,Hopscotch,429,111,293,0.317,21,6,15,28.57142857,,
51,LI,Hopscotch,429,JaneilsonHD,296,0.310,20,8,12,40,,
46,XLVI,Belarus,635,JaneilsonHD,439,0.309,20,9,11,45,,
48,XLVIII,Elitist Africa,517,sfj,360,0.304,20,8,12,40,,
54,LIV,Trippel-Tafl No Fog,285,sfj,199,0.302,20,8,12,40,,
50,L,French Brawl,476,sfj,336,0.294,21,7,14,33.33333333,,
52,LII,Guiroma,548,Bechaa,390,0.288,7,5,2,71.42857143,,
48,XLVIII,Elitist Africa,517,111,368,0.288,20,8,12,40,,
52,LII,Guiroma,548,"NorthPenguin, EOP",391,0.287,12,4,8,33.33333333,,
49,XLIX,Battle Islands V,489,sfj,350,0.284,21,7,14,33.33333333,,
54,LIV,Trippel-Tafl No Fog,285,Grayson,204,0.284,20,8,12,40,,
43,XLIII,Great Lakes,356,ZOROASTRO,257,0.278,20,6,14,30,,
47,XLVII,Antarctica,548,111,397,0.276,20,8,12,40,,
51,LI,Hopscotch,429,Gral. Castanos,313,0.270,20,7,13,35,,
49,XLIX,Battle Islands V,489,TorquoiseGamer,358,0.268,20,8,12,40,,
51,LI,Hopscotch,429,TorquoiseGamer,316,0.263,20,6,14,30,,
50,L,French Brawl,476,JaneilsonHD,351,0.263,20,7,13,35,,
43,XLIII,Great Lakes,356,Warrior,263,0.261,14,5,9,35.71428571,,
53,LIII,Strategic Greece,442,JaneilsonHD,327,0.260,18,4,14,22.22222222,,
49,XLIX,Battle Islands V,489,111,365,0.254,21,10,11,47.61904762,,
52,LII,Guiroma,548,Graaf Reinoud I,418,0.237,7,2,5,28.57142857,,
48,XLVIII,Elitist Africa,517,Gral. Castanos,396,0.234,20,7,13,35,,
47,XLVII,Antarctica,548,καλλιστηι,421,0.232,9,7,2,77.77777778,,
50,L,French Brawl,476,Gral. Castanos,366,0.231,21,9,12,42.85714286,,
53,LIII,Strategic Greece,442,OldManKensey,342,0.226,14,5,9,35.71428571,,
46,XLVI,Belarus,635,Gral. Castanos,497,0.217,20,9,11,45,,
37,XXXVII,Earthsea,258,Charle Robert,202,0.217,14,5,9,35.71428571,,
49,XLIX,Battle Islands V,489,JaneilsonHD,383,0.217,20,9,11,45,,
47,XLVII,Antarctica,548,Gral. Castanos,430,0.215,20,8,12,40,,
45,XLV,Numenor,795,Charlie,624,0.215,19,6,13,31.57894737,,
53,LIII,Strategic Greece,442,TonyG4real,349,0.210,15,4,11,26.66666667,,
36,XXXVI,Timid Land,257,Nave,203,0.210,9,1,8,11.11111111,,
47,XLVII,Antarctica,548,"NorthPenguin, EOP",435,0.206,20,7,13,35,,
10,X,4 FFA castles,179,Nave,144,0.196,13,0,13,0,,
51,LI,Hopscotch,429,Graaf Reinoud I,348,0.189,10,8,2,80,,
47,XLVII,Antarctica,548,Clash42,445,0.188,13,6,7,46.15384615,,
44,XLIV,SE 1W,900,JaneilsonHD,733,0.186,20,7,13,35,,
47,XLVII,Antarctica,548,Nave,451,0.177,9,5,4,55.55555556,,
45,XLV,Numenor,795,Gral. Castanos,660,0.170,20,4,16,20,,
44,XLIV,SE 1W,900,TorquoiseGamer,749,0.168,20,7,13,35,,
49,XLIX,Battle Islands V,489,Gral. Castanos,408,0.166,20,7,13,35,,
54,LIV,Trippel-Tafl No Fog,285,Chris,239,0.161,17,4,13,23.5294118,,
54,LIV,Trippel-Tafl No Fog,285,marios6369,243,0.147,20,6,14,30,,
44,XLIV,SE 1W,900,ShoarmaBar,769,0.146,16,6,10,37.5,,
48,XLVIII,Elitist Africa,517,Nave,450,0.130,10,5,5,50,,
44,XLIV,SE 1W,900,Charlie,801,0.110,21,6,15,28.57142857,,
47,XLVII,Antarctica,548,Zahra,506,0.077,14,3,11,21.42857143,,
54,LIV,Trippel-Tafl No Fog,285,GLiTchY,266,0.067,10,3,7,30,,
44,XLIV,SE 1W,900,Bechaa,861,0.043,8,1,7,12.5,,
55,LV,British Raj,257,Chrisromefighter,32,0.875,20,14,6,70,,
55,LV,British Raj,257,psinoza,47,0.817,20,12,8,60,,
55,LV,British Raj,257,Sapk,48,0.813,20,13,7,65,,
55,LV,British Raj,257,Nave,61,0.763,20,10,10,50,,
55,LV,British Raj,257,MB,63,0.755,20,12,8,60,,
55,LV,British Raj,257,andrtych,73,0.716,20,11,9,55,,
55,LV,British Raj,257,denna.,83,0.677,20,12,8,60,,
55,LV,British Raj,257,marios6369,101,0.607,20,10,10,50,,
55,LV,British Raj,257,Jacob_Nemesis815,119,0.537,20,9,11,45,,
55,LV,British Raj,257,HuBa,135,0.475,20,12,8,60,,
55,LV,British Raj,257,sfj,172,0.331,20,8,12,40,,
55,LV,British Raj,257,Trump 45 47,188,0.268,20,9,11,45,,
55,LV,British Raj,257,frank_segal,193,0.249,20,10,10,50,,
55,LV,British Raj,257,Grayson,218,0.152,19,8,11,42.10526316,,
55,LV,British Raj,257,pagliaccio,229,0.109,20,8,12,40,,
55,LV,British Raj,257,Morphine70,244,0.051,20,8,12,40,,
55,LV,British Raj,257,TonyG4real,246,0.043,20,6,14,30,,
56,LVI,MA Battle Islands V,204,MrPotato,27,0.868,20,13,7,65,,
56,LVI,MA Battle Islands V,204,andrtych,36,0.824,20,12,8,60,,
56,LVI,MA Battle Islands V,204,denna.,37,0.819,20,13,7,65,,
56,LVI,MA Battle Islands V,204,Grayson,42,0.794,20,13,7,65,,
56,LVI,MA Battle Islands V,204,MB,44,0.784,20,13,7,65,,
56,LVI,MA Battle Islands V,204,Scratched NT,60,0.706,20,12,8,60,,
56,LVI,MA Battle Islands V,204,"NorthPenguin, EOP",89,0.564,20,14,6,70,,
56,LVI,MA Battle Islands V,204,HuBa,127,0.377,20,10,10,50,,
56,LVI,MA Battle Islands V,204,marios6369,151,0.260,20,10,10,50,,
56,LVI,MA Battle Islands V,204,Jacob_Nemesis815,152,0.255,20,9,11,45,,
56,LVI,MA Battle Islands V,204,Trump 45 47,167,0.181,20,7,13,35,,
56,LVI,MA Battle Islands V,204,sfj,179,0.123,20,8,12,40,,
56,LVI,MA Battle Islands V,204,frank_segal,183,0.103,20,8,12,40,,
56,LVI,MA Battle Islands V,204,TonyG4real,200,0.020,20,6,14,30,,
56,LVI,MA Battle Islands V,204,Morphine70,203,0.005,20,7,13,35,,
,,,,,,,,,,,,